SKU,landed_cost,target_price,recommended_price
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-01,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-02,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-03,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
MN-04,0.0,0.0,0.0
